mobility_model,cmr,seed,scheme,total_cost
random_walk,5.0,1001,Static Time-based,23367.0
random_walk,5.0,1001,AM-RL-LU (Q-learning),32333.0
random_walk,5.0,1001,AM-RL-LU (DQN),26131.0
random_walk,5.0,1002,Static Movement-based,20101.0
random_walk,5.0,1002,Static Distance-based,20101.0
random_walk,5.0,1002,Static Time-based,21631.0
random_walk,5.0,1002,AM-RL-LU (Q-learning),32219.0
random_walk,5.0,1002,AM-RL-LU (DQN),23575.0
random_walk,5.0,1003,Static Movement-based,18783.0
random_walk,5.0,1003,Static Distance-based,18783.0
random_walk,5.0,1003,Static Time-based,20623.0
random_walk,5.0,1003,AM-RL-LU (Q-learning),30935.0
random_walk,5.0,1003,AM-RL-LU (DQN),21699.0
random_walk,5.0,1004,Static Movement-based,20047.0
random_walk,5.0,1004,Static Distance-based,20047.0
random_walk,5.0,1004,Static Time-based,21547.0
random_walk,5.0,1004,AM-RL-LU (Q-learning),27279.0
random_walk,5.0,1004,AM-RL-LU (DQN),23121.0
random_walk,5.0,1005,Static Movement-based,16964.0
random_walk,5.0,1005,Static Distance-based,16964.0
random_walk,5.0,1005,Static Time-based,19174.0
random_walk,5.0,1005,AM-RL-LU (Q-learning),24966.0
random_walk,5.0,1005,AM-RL-LU (DQN),19634.0
fluid_flow,0.2,1001,Static Movement-based,4843.0
fluid_flow,0.2,1001,Static Distance-based,4213.0
fluid_flow,0.2,1001,Static Time-based,5223.0
fluid_flow,0.2,1001,AM-RL-LU (Q-learning),36747.0
fluid_flow,0.2,1001,AM-RL-LU (DQN),6097.0
fluid_flow,0.2,1002,Static Movement-based,5136.0
fluid_flow,0.2,1002,Static Distance-based,4526.0
fluid_flow,0.2,1002,Static Time-based,5356.0
fluid_flow,0.2,1002,AM-RL-LU (Q-learning),47902.0
fluid_flow,0.2,1002,AM-RL-LU (DQN),6698.0
fluid_flow,0.2,1003,Static Movement-based,4695.0
fluid_flow,0.2,1003,Static Distance-based,3995.0
fluid_flow,0.2,1003,Static Time-based,4995.0
fluid_flow,0.2,1003,AM-RL-LU (Q-learning),35197.0
fluid_flow,0.2,1003,AM-RL-LU (DQN),6037.0
fluid_flow,0.2,1004,Static Movement-based,4478.0
fluid_flow,0.2,1004,Static Distance-based,3918.0
fluid_flow,0.2,1004,Static Time-based,4748.0
fluid_flow,0.2,1004,AM-RL-LU (Q-learning),36652.0
fluid_flow,0.2,1004,AM-RL-LU (DQN),6204.0
fluid_flow,0.2,1005,Static Movement-based,4404.0
fluid_flow,0.2,1005,Static Distance-based,3834.0
fluid_flow,0.2,1005,Static Time-based,4824.0
fluid_flow,0.2,1005,AM-RL-LU (Q-learning),35990.0
fluid_flow,0.2,1005,AM-RL-LU (DQN),5828.0
fluid_flow,0.5,1001,Static Movement-based,7070.0
fluid_flow,0.5,1001,Static Distance-based,6930.0
fluid_flow,0.5,1001,Static Time-based,7820.0
fluid_flow,0.5,1001,AM-RL-LU (Q-learning),60740.0
fluid_flow,0.5,1001,AM-RL-LU (DQN),7428.0
fluid_flow,0.5,1002,Static Movement-based,7527.0
fluid_flow,0.5,1002,Static Distance-based,7509.0
fluid_flow,0.5,1002,Static Time-based,7967.0
fluid_flow,0.5,1002,AM-RL-LU (Q-learning),30287.0
fluid_flow,0.5,1002,AM-RL-LU (DQN),7977.0
fluid_flow,0.5,1003,Static Movement-based,7332.0
fluid_flow,0.5,1003,Static Distance-based,7244.0
fluid_flow,0.5,1003,Static Time-based,7932.0
fluid_flow,0.5,1003,AM-RL-LU (Q-learning),32876.0
fluid_flow,0.5,1003,AM-RL-LU (DQN),7474.0
fluid_flow,0.5,1004,Static Movement-based,7227.0
fluid_flow,0.5,1004,Static Distance-based,6939.0
fluid_flow,0.5,1004,Static Time-based,7757.0
fluid_flow,0.5,1004,AM-RL-LU (Q-learning),58701.0
fluid_flow,0.5,1004,AM-RL-LU (DQN),7527.0
fluid_flow,0.5,1005,Static Movement-based,6864.0
fluid_flow,0.5,1005,Static Distance-based,6608.0
fluid_flow,0.5,1005,Static Time-based,7598.0
